departamentos;PIB2005;PIB2023;Porc_crecimiento
amazonas;3,8;14;2,68
antioquia;9,3;33,7;2,62
arauca;16,1;27,4;0,7
atlantico;6,4;25;2,91
bogota d.c. (ct);13,4;49,7;2,71
bolivar;6,2;25,2;3,06
boyaca;7,2;32,2;3,47
caldas;6;24,9;3,15
caqueta;3,3;14,5;3,39
casanare;24,1;48,1;1
cauca;3,9;18,2;3,67
cesar;6,8;23,9;2,51
choco;3,1;11,4;2,68
cordoba;3,9;14,6;2,74
cundinamarca;10,3;28,8;1,8
guainia;4,1;9,8;1,39
guaviare;4,8;12,8;1,67
huila;6,5;22,4;2,45
guajira;6,5;18,9;1,91
magdalena;3,9;14,6;2,74
meta;10;47,5;3,75
narino;3,4;13,7;3,03
norte de santander;3,9;14,7;2,77
putumayo;4,2;15,1;2,6
quindio;5,4;23,4;3,33
risaralda;6,3;26,9;3,27
san andres;7,9;36,2;3,58
santander;10;42,9;3,29
sucre;3;12,6;3,2
tolima;5,9;24,3;3,12
valle;8,2;32,9;3,01
vaupes;3,1;9;1,9
vichada;3,9;8,6;1,21