departamento	TO2007	TO2008	TO2009	TO2010	TO2011	TO2012	TO2013	TO2014	TO2015	TO2016	TO2017	TO2018	TO2019	TO2020	TO2021	TO2022	TO2023
antioquia	54,6	54,2	56,7	57,4	57,8	58,5	59,1	58,5	56,6	55,7	55,7	54,3	53,5	48,4	50,8	56,7	58,2
atlantico	53,3	52,5	53,8	55	57,2	57,5	58	58	59,4	59,6	58,4	58,3	57,9	51	52,8	58,6	59,2
bolivar	53,8	49,3	51,4	54,4	57,8	60,5	59,9	60,7	60,8	60,1	60,1	61,2	61,2	54,5	56	56,8	58,9
boyaca	57,9	61,8	55,7	56,1	59	59,8	58,7	61,4	64,7	60,5	60,1	60,6	56,2	47,6	47,7	54,2	53,6
caldas	51	50,9	50,9	51,3	50,3	52	51,8	52,8	55,1	53,4	53,7	53,9	52,5	48,3	49,4	51,7	52,1
caqueta	53,4	51,9	51,2	52,4	53,4	53,6	52,6	55,1	56,2	59,6	57,3	57	53,9	49,6	50,8	55,5	54,7
cauca	58	54,4	56,3	55,4	55,3	55,4	54,9	56,5	57,8	59	59	59,2	55,4	49,9	54,2	59,4	60,6
cesar	49,4	49	55	56,2	54,9	56,8	55,8	54,7	56	53,7	56,4	52,8	52,1	44,8	48,7	49,7	52,6
choco	47,3	45,7	52,1	54,6	58	55	55,5	48,5	53,2	56,9	58	57,1	48,8	42,4	36,7	38	33,2
cordoba	54,4	56,3	61,6	61	62,3	62,2	61,5	62,3	65,9	62,7	64,9	65,5	62,6	55,3	54,3	54,1	55,4
cundinamarca	59,3	62,9	66,8	68,4	66,6	65,7	65,6	66,4	65,6	63,3	62,9	61,8	58,3	53,6	54,6	59,1	59,5
huila	55,2	58,4	60,3	60	60,6	61,1	59,9	56,7	58,3	56	54,3	51,9	51,9	45,1	47,8	53,6	54,4
guajira	44,8	45,3	59,2	66,7	65,2	75,6	73,7	74,1	76	75,5	80,7	83,5	79,1	69,4	68,2	61,5	53,3
magdalena	53,4	50,2	53,5	56,7	55,7	58,9	57,7	59,4	59,5	59,1	59,3	57,8	57,3	49,4	52,8	55,9	56,3
meta	60,6	60,6	62,5	62,5	63,6	61,7	60	60,5	63	61,5	62,2	61,2	59,6	49,3	52,6	56,5	57,3
narino	54,5	55,5	59,3	57,4	64	64,3	66,2	66	68,3	71	71,9	69	69,4	64,2	67,4	70,2	71,4
norte de santander	57,2	57,2	57,5	57	58,8	60,2	58,9	58,3	57,9	58,3	58,6	56,4	54,8	48,5	51,7	52,8	52,7
quindio	51,2	51,7	49,9	51,8	52,9	54,4	54,2	55,8	55,5	55	54,4	53,7	51,9	43,1	46,9	50,1	47,9
risaralda	53,2	53,8	55,4	54,9	57,4	57,4	55,3	56,5	57,5	59	59	59	57,1	48,9	48,9	52,3	53,5
santander	55,8	58,5	63,9	64,2	64,9	65	64,3	63,8	62,6	61,4	60	58,9	56	48,2	50,3	54,9	57,2
sucre	51,9	50,2	52,5	53,2	55,2	59,8	59,3	60,4	58,8	60,5	60,4	62,4	59,8	52,7	53,3	52,9	51,3
tolima	57,1	60,6	59,1	60,6	61,6	62,3	62,1	61,7	61,3	60,8	59	56,1	51,7	43,9	44,9	48,9	50,2
valle	59,8	57,9	60,2	60,7	58	57,9	57,9	57,4	58	57,1	56,2	55,3	54,6	46,7	49,3	55,8	57,1
bogota d.c. (ct)	59,3	62,9	66,8	68,4	66,6	65,7	65,6	66,4	65,6	63,3	62,9	61,8	58,3	53,6	54,6	59,1	59,5