departamento;nacimientos2022;nacimientos2008
antioquia;66766;90973
atlantico;36114;41432
bogota d.c. (ct);64765;117590
bolivar;33895;30851
boyaca;12036;19193
caldas;7728;12503
caqueta;5836;7209
cauca;16375;17319
cesar;21498;21052
cordoba;24207;26228
cundinamarca;31155;37378
choco;7265;5568
huila;16218;20555
guajira;22139;12821
magdalena;21839;22341
meta;14414;15767
narino;14078;20869
norte de santander;21834;21615
quindio;4769;6731
risaralda;9106;12981
santander;24439;32755
sucre;13637;16021
tolima;14666;21651
valle;40862;60377
arauca;4014;4833
casanare;5806;6401
putumayo;4590;4722
san andres;681;844
amazonas;1098;1402
guainia;1244;569
guaviare;1256;1592
vaupes;862;713
vichada;2035;872